region,municipality,settlement,oktmo,latitude_dd,longitude_dd,year,assets,assets_depreciation,assets_exhausted,assets_new,birth,build_flat,catering,catering_growth,collective_foreign,collective_people,collective_russian,comp_electr,comp_manufact,comp_mining,construction,crimes,criminals,death,doctors,doctors_per10,domesticserv,hospital_beds,hospital_beds_per10,hospitals,industry,invest_budg,invest_fed,invest_reg,investment,job_regist,job_regist_unempl,job_seeker,job_seeker_unempl,living_space,migration,n_companies,new_hospital_beds,new_housing,new_polycl_visits,new_preschool_places,new_school_places,nurses,nurses_per10,pens,pension,polycl_visits,polycl_visits_per10,polyclinic,pop_1_6,pop_old,pop_work,pop_young,population,preschool,preschool_child,preschool_coverage,preschool_places,preschool_waiting,pupils,retail,retail_growth,rni,schools,servises,volume_electr,volume_manufact,volume_mining,volume_water,wage,workers
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,1985,NaN,NaN,NaN,NaN,16,NaN,0.107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4,3868,60.7,0.031,11.2,176.4,41,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.8,NaN,NaN,120,205.5,NaN,1700,1176,7459,117.1,112.1,NaN,19,299.8,56,NaN,NaN,NaN,NaN,637.1,195,36.4,NaN,30.4,NaN,75.7,NaN,NaN,6.6,91,0.147,NaN,NaN,NaN,NaN,0.213,353.8
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,1990,NaN,NaN,NaN,NaN,12.1,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8071,NaN,9.2,4490,67.8,0.057,11.3,170.6,40,3.1,NaN,NaN,NaN,0.367,NaN,NaN,NaN,NaN,14.8,NaN,NaN,130,270.5,500,320,2592,9504,143.5,123.7,NaN,18.8,284.4,65,NaN,NaN,NaN,NaN,662.3,226,35.8,NaN,25.2,NaN,82.2,NaN,NaN,2.9,99,0.208,NaN,NaN,NaN,NaN,0.296,336.7
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,1995,NaN,NaN,NaN,NaN,7.9,NaN,76.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12806,6656,14,4930,75.4,66.1,10.7,163.6,39,4055,NaN,NaN,NaN,616.3,7867,1461,NaN,NaN,15.9,NaN,12908,112,153.2,0,0,160,8803,134.6,146.4,NaN,23.3,355.8,67,NaN,NaN,NaN,NaN,653.8,185,24,NaN,24.7,NaN,88.6,NaN,NaN,-6.1,107,432.6,NaN,NaN,NaN,NaN,440,269.5
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,1996,NaN,NaN,NaN,NaN,7.6,NaN,111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,757.4,13730,7939,13.8,5179,79.5,98.9,10.7,164.9,39,7096,NaN,NaN,NaN,905.2,8898,4254,NaN,NaN,16.1,NaN,14330,0,112.3,0,0,105,8852,135.9,150,NaN,23.4,358.9,65,NaN,NaN,NaN,NaN,651.5,172,21.9,NaN,23.8,NaN,89.3,NaN,NaN,-6.2,107,694.6,NaN,NaN,NaN,NaN,756.5,262.8
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,1997,NaN,NaN,NaN,NaN,7.6,NaN,134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,573.9,13166,7095,12.5,5378,82.5,246,10.7,163.9,39,7680,NaN,NaN,NaN,729.9,8091,4674,NaN,NaN,16.4,NaN,15229,0,125.3,0,0,0,8880,136.3,153.2,NaN,23,352.2,65,NaN,NaN,NaN,NaN,651.7,166,20.8,NaN,22.8,NaN,89.2,NaN,NaN,-4.9,108,1035.4,NaN,NaN,NaN,NaN,889.9,257.6
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,1998,NaN,NaN,NaN,NaN,8.2,NaN,172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,474.3,15597,7023,11.3,5531,85.1,197,10.6,162.8,39,7219,27,9.1,NaN,912.2,9165,6590,NaN,NaN,17,NaN,16222,6,187.1,0,0,1729,8767,134.9,156.3,NaN,24.6,378.4,65,NaN,NaN,NaN,NaN,650,162,19.7,NaN,22,NaN,88.3,NaN,NaN,-3.1,110,1214.8,NaN,NaN,NaN,NaN,947.4,240.4
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,1999,NaN,NaN,NaN,NaN,8.1,NaN,175.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,726.5,16325,7700,12,5605,86.9,307.5,10.6,163.5,38,9397.9,26.4,7.2,NaN,1228.7,6258,4086,NaN,NaN,17.9,NaN,17587,154,202.5,0,0,1796,8900,137.9,158,NaN,23.9,370.8,66,NaN,NaN,NaN,NaN,645.2,158,19.6,NaN,21.4,NaN,84.8,8639,NaN,-3.9,110,1899.9,NaN,NaN,NaN,NaN,1300,246.4
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2000,NaN,NaN,NaN,NaN,8.7,NaN,211.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1033.6,15512,6998,12.4,5669,88.1,397.6,10.5,163.7,37,13362.1,24.6,9.1,NaN,1423,6877,3078,NaN,NaN,18.2,NaN,19071,0,195.8,0,0,689,8663,134.7,159.6,NaN,23.7,368.1,66,NaN,NaN,NaN,NaN,643.3,154,20.1,NaN,21.1,NaN,80.9,12474.7,NaN,-3.7,112,2602.7,NaN,NaN,NaN,NaN,1873.2,242
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2001,NaN,NaN,NaN,NaN,9.2,NaN,300.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1235,14228,6567,13.1,5871,91.9,549.9,10.5,164,36,15704.8,21.5,11.1,NaN,2084,8370,3541,NaN,NaN,18.6,NaN,21035,0,201.1,560,0,0,8912,139.5,160.5,NaN,23.3,364.6,66,NaN,NaN,NaN,NaN,639,152,19.6,NaN,19.6,NaN,77.5,16478.9,NaN,-3.9,110,3791.1,NaN,NaN,NaN,NaN,2473,232.6
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2002,NaN,NaN,NaN,NaN,10.3,1736,420.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1375.8,16985,5403,14,5835,92,666.3,10.4,164,36,16757.3,20,10.2,NaN,3095,7152,3381,NaN,NaN,19,NaN,23092,270,161.7,300,0,285,9029,142.4,160.7,1518,22.7,358.2,59,NaN,NaN,NaN,NaN,667.6,152,19.9,NaN,19.2,NaN,73.7,21686,NaN,-3.7,120,5101.4,NaN,NaN,NaN,NaN,3672,221.1
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2003,NaN,NaN,NaN,NaN,10.2,2262,546.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1539.1,18040,5701,13.7,5919,89.4,922.7,10.3,156,36,22436.5,11.5,5.2,NaN,5119.5,8585,3934,NaN,NaN,18.5,NaN,25485,270,208,300,0,0,9045,136.6,161.3,1813,22,332.3,60,30.8,116.1,425.5,94.2,662.2,152,20.4,NaN,19.1,NaN,69.2,27896.8,NaN,-3.5,120,6815.7,NaN,NaN,NaN,NaN,4668.8,217.9
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2004,NaN,NaN,NaN,NaN,10.7,1936,690.8,111.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16312,5873,13.5,5985,91,1188.9,10.8,165,37,NaN,9.2,5.6,NaN,5745,8542,3894,NaN,NaN,18.9,NaN,27503,0,186.5,0,0,180,9033,137.3,162.8,2103.3,22.6,342.7,62,32.4,116.4,423.6,91.2,658,152,21.1,63,20.6,NaN,64.2,33994.9,114.1,-2.8,117,8581.9,NaN,NaN,NaN,NaN,5211,235.8
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2005,NaN,NaN,NaN,NaN,10.6,2540,991.4,113,NaN,NaN,NaN,88,405,1,6513.1,25172,7064,14,6083,93.1,1506,10.7,164,36,NaN,8.1,4.7,NaN,8496.8,9720,5496,NaN,NaN,19.2,NaN,29825,123,227.1,56,0,1296,9045,138.4,164,2623.8,20.4,312.6,62,33,112.7,405,86.5,653.4,152,21.5,64,20.6,NaN,60.3,42115.9,112.5,-3.4,116,12542.6,12025.8,20147.2,0.2,NaN,6311,233.8
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2006,NaN,NaN,NaN,NaN,10.1,2971,1477.7,118.8,NaN,NaN,NaN,93,454,2,9637.9,29918,8190,13,6319,97.3,1981.3,10.7,165.4,36,NaN,14,9.1,NaN,12107,NaN,NaN,7962,4503,19.7,NaN,26981,0,250.3,0,0,0,9278,142.8,164.8,2925.2,23.4,360.5,62,34.7,114.5,400.5,85.1,649.7,152,22.7,60,19.5,NaN,57.4,55639.4,120,-2.9,112,15781.1,6049.7,23958.7,1,NaN,7696,239.4
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2007,NaN,NaN,NaN,NaN,10.7,4391,1992.8,114,NaN,NaN,NaN,106,473,2,13246,26500,7887,12.5,6445,99.5,2667,10.7,164.9,42,NaN,15.4,7.3,NaN,18572.8,NaN,NaN,6051,3721,20.3,NaN,28620,307,358.9,0,0,504,9414,145.3,165.1,3755.3,23.4,361.2,148,35.7,116.4,395.9,84.9,647.7,151,24.4,63,20.2,NaN,55.4,71125.3,116,-1.8,109,20357.7,15005.6,27165.7,0.4,NaN,9890.1,249.5
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2008,183875.433,27.9,3.8,NaN,11.8,4791,637.4,105.9,NaN,NaN,NaN,95,430,3,6492.7,21500,7287,12.4,6581,101.1,NaN,10.7,164.3,38,NaN,27.1,10.7,NaN,17832.3,NaN,NaN,6231,3021,20.7,NaN,30443,370,384.1,25,520,0,9651,148.3,166.5,4616,22.4,343.8,40,37,118.8,391.6,86.4,650.7,157,26.4,65.9,21.8,NaN,54.5,24469.1,148.9,-0.6,105,NaN,8568.8,29897.5,6.9,NaN,13917,181.4
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2009,204705.321,30.4,4.4,NaN,12,5262,410,56.2,NaN,NaN,NaN,90,406,3,3204,17937,6944,11.7,6673,102.4,NaN,10.6,162.8,34,NaN,30.2,15.4,NaN,13789.1,NaN,NaN,7385,6554,21.2,NaN,31347,0,389.9,1000,0,0,9702,148.9,169.8,6224,23,353,40,38.3,121.9,387,88.9,652.6,159,27.2,65.9,22.2,NaN,54.9,25380.2,92.5,0.3,104,NaN,10071.1,25216.5,0.02,NaN,15117,174.2
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2010,213598.2,33.4,5.7,15405.9,12.1,5722,452,102.6,NaN,NaN,NaN,91,385,2,4588.6,15463,6365,11.5,3314,49.4,NaN,5.6,83.6,19,NaN,26,14.1,NaN,16176.5,NaN,NaN,5305,4304,21,3542,31561,0,391,810,330,0,5858,87.3,174.1,7698.8,15.1,225.6,38,37.7,127.7,397.3,88,671.2,160,28.3,NaN,23.1,16131,NaN,30187.7,114.5,0.6,NaN,NaN,11820.1,37013.1,NaN,NaN,16564,171.9
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2011,244844.8,35.6,9.9,20858.6,11.8,5591,369.4,77,NaN,NaN,NaN,81,360,4,6784.5,14248,5894,11.5,3370,49.5,NaN,5.8,85.2,19,NaN,27.4,14.4,NaN,22526.9,NaN,NaN,3551,3140,21.1,10002,30897,0,337.7,0,245,256,5990,87.9,176.9,8356.3,14.7,215.5,30,43.7,142.9,437.5,101.1,681.5,160,29.4,NaN,24,19636,NaN,36284.4,107.7,0.3,NaN,NaN,12032.5,37014.4,11.8,NaN,18574.6,169.8
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2012,278479.5,36.9,9.5,28649.5,12.8,4919,384.1,82.5,NaN,NaN,NaN,71,380,4,8375.1,12416,5611,11.7,3264,47.2,NaN,6.1,88.8,18,NaN,32.9,17.5,NaN,19033.8,NaN,NaN,2644,2336,21.3,8925,29765,165,355.2,510,365,825,6108,88.4,179.4,9216.5,15.4,222.8,28,45.1,146.5,439.2,105.4,691.1,161,31.2,NaN,25.9,25123,NaN,48076.7,113.2,1.1,NaN,NaN,12533.6,42210.9,NaN,NaN,21753,170.7
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2013,307051.5,40,9.9,27012.4,12.9,5637,487.5,116.5,NaN,NaN,NaN,74,384,2,7191.1,13467,5828,11.1,3241,46.6,NaN,6.1,88.1,20,NaN,26.8,10.5,9.8,18552.1,NaN,NaN,1977,1492,21.6,3331,31343,11,369.5,0,695,0,6196,89.1,183.3,10054.4,15.8,226.9,33,47.1,153.9,433.2,108.6,695.7,161,33.2,NaN,28.5,22946,NaN,55928.6,108.4,1.8,NaN,NaN,15516.9,48911.4,NaN,NaN,24449.4,171.4
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2014,282392.5,41.4,10.7,23352.9,12.9,7281,575.9,107.5,NaN,NaN,NaN,67,383,2,8299.3,13708,6247,10.9,3448,49.3,NaN,6.3,89.5,20,NaN,20.2,8.4,7.4,24678.4,NaN,NaN,1990,1391,22.1,2459,32112,77,453.1,250,330,0,6315,90.3,185.6,11077.1,17.1,244.5,38,48.9,157.5,429.4,112.7,699.6,160,34.9,NaN,30.9,NaN,NaN,62763.5,103.6,2,NaN,NaN,17508.3,49084.9,NaN,NaN,26523.4,169.8
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2015,298187.6,46.1,12.5,16755.6,13.7,10392,509.8,77.7,9986,146450,136464,69,373,1,8612.9,14748,6377,11.7,3460,49.4,NaN,6.3,89.9,22,NaN,32.2,9.7,17.1,18521,NaN,NaN,2347,1863,22.8,-667,33947,0,608.6,40,592,0,6772,96.7,190.6,12027.4,17.2,245.5,40,50,160.6,422.6,117.1,700.3,182,36.8,NaN,33.3,NaN,NaN,61360.3,84.5,2,NaN,NaN,20020.2,58496.9,NaN,NaN,27433.4,167.2
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2016,325985.8,48,14.4,18623.1,13.3,8132,683.7,NaN,9807,177511,167704,NaN,NaN,NaN,6125.7,14276,6775,11.1,3513,50.3,NaN,6.3,89.6,23,NaN,33.2,9.6,16.9,19215.7,NaN,NaN,2206,1770,23.4,-3781,33691,512,483.2,120,370,550,6719,96.3,194.1,12348.9,17.5,251.3,34,51.3,163.7,413.9,120.5,698.1,163,37.3,NaN,35.6,NaN,NaN,64330.1,NaN,2.2,NaN,NaN,18662.1,62448.1,NaN,3032.4,28937.3,163.5
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2017,352592.7,52.1,16.2,21368.4,11.9,6502,760.7,NaN,10346,197965,187619,NaN,NaN,NaN,4265.3,12761,6078,11.4,3532,50.7,NaN,6.1,87,20,NaN,27.3,8.4,12,19929,2100,1499,2100,1499,23.9,-2074,33173,0,381.8,0,0,550,6755,97,197.3,13238.3,17.4,249.6,34,52.2,166.6,407.1,122.7,696.4,157,34.1,NaN,34.8,NaN,NaN,73766,NaN,0.5,NaN,NaN,22139.4,68856.3,NaN,3788.1,31013.5,158.3
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2018,372610.1,50.9,19.7,31695,10.8,9433,850.4,NaN,9679,183280,173601,NaN,NaN,NaN,4501.2,NaN,NaN,11.4,3527,50.6,NaN,5.6,79.8,19,NaN,19.2,4.2,12.5,30257.9,1734,1375,NaN,NaN,24.5,813,31581,NaN,520.3,0,0,950,6335,90.9,200.5,13956.3,17.7,254.4,34,52.5,168.8,404,123.9,696.7,NaN,34.9,NaN,35.3,NaN,NaN,84061.1,NaN,-0.6,NaN,NaN,23380.3,74583.9,NaN,4450.6,34651.1,157.8
Алтайский край,Барнаул,Барнаул,1701000001,53.34805556,83.78,2019,430407.3,52.4,24,29633.6,9.8,8233,960.2,NaN,12009,188768,176759,NaN,NaN,NaN,5263.1,NaN,NaN,11.4,3625,52,NaN,5.4,77.5,20,NaN,24.3,5.6,14.7,31269.6,1572,1370,NaN,NaN,25.2,1350,29412,NaN,482.2,340,1135,550,6448,92.5,200.7,14727.9,18.4,263.3,35,51.5,162.6,410.2,124.2,697,NaN,35.1,NaN,36.4,NaN,NaN,86855.5,NaN,-1.6,NaN,NaN,21122,87569.4,NaN,4508.9,37855.1,157.2
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2000,NaN,NaN,NaN,NaN,8.7,NaN,101.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,422.7,5734,3042,15.1,855,36,76.2,2.4,102,13,4259,7.6,1,NaN,448.6,3498,2307,NaN,NaN,18.7,NaN,4142,0,24,0,0,400,2398,102,63.1,NaN,6.2,263,23,NaN,NaN,NaN,NaN,235.3,46,5.1,NaN,5.1,NaN,29.9,2135.6,NaN,-6.4,46,621,NaN,NaN,NaN,NaN,1386,73.1
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2001,NaN,NaN,NaN,NaN,9.2,NaN,130.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456.9,6219,3025,15.3,829,35,98.4,2.4,101,13,5628,22.9,2.9,NaN,401,4151,3238,NaN,NaN,19,NaN,4500,28,32,0,0,250,2431,104,63.2,NaN,6,255,23,NaN,NaN,NaN,NaN,233.6,46,5,NaN,5,NaN,28.3,2936.4,NaN,-6.1,45,916.6,NaN,NaN,NaN,NaN,1986,72.8
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2002,NaN,NaN,NaN,NaN,9.6,258,165.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,567.3,6005,2309,16.5,840,36,118.5,2.4,102,14,6151,8.8,2.5,NaN,474.7,4958,4154,NaN,NaN,19.3,NaN,4756,60,30,300,0,0,2406,103.8,63.4,1497,6.5,280.1,23,NaN,NaN,NaN,NaN,232.9,45,5.5,NaN,5.3,NaN,26.7,3552.2,NaN,-6.9,47,1235.9,NaN,NaN,NaN,NaN,2816.6,54.2
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2003,NaN,NaN,NaN,NaN,10.7,302,205.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,769.6,7919,3191,16.2,817,35.1,133,2.4,102,14,6729.9,7.9,2.1,NaN,735.2,5430,4461,NaN,NaN,19.5,NaN,4937,0,30.5,0,0,0,2416,105.3,63.3,1784,6.5,281,23,11.8,44.2,148.4,36.8,231.1,45,5.3,NaN,5.2,NaN,24.9,4701.6,NaN,-5.5,47,1566.1,NaN,NaN,NaN,NaN,3482.9,51.5
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2004,NaN,NaN,NaN,NaN,10.3,158,235.8,100.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6979,2491,16.8,867,37.8,156.5,2.5,108,14,NaN,6.9,5.8,NaN,791.8,5689,5012,NaN,NaN,19.8,NaN,5172,0,22.1,0,0,0,2675,116.7,63.3,2036.4,6.5,284.3,23,12.5,44.1,148,35.5,229.2,45,5.6,45,5.1,NaN,22.8,7551.7,150.4,-6.5,47,1728.2,NaN,NaN,NaN,NaN,4333.1,64.9
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2005,NaN,NaN,NaN,NaN,9.7,130,310.4,103.6,NaN,NaN,NaN,50,135,NaN,573.1,6633,2618,17.5,902,39.8,194.4,2.5,109.6,8,NaN,15.3,11.2,NaN,811.2,5467,5167,NaN,NaN,20.1,NaN,5502,0,18.9,0,0,0,2630,115.9,73.8,2536.5,6.5,286.9,27,13,44.2,146.8,34.3,226.8,44,5.6,44,5,NaN,21.3,8815.4,106,-7.8,48,2344.2,2726.9,6180.7,NaN,NaN,5290.2,65.1
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2006,NaN,NaN,NaN,NaN,9.8,133,392.2,100.7,NaN,NaN,NaN,53,153,1,724.8,6016,2539,15.9,948,42.2,211,2.5,111.1,13,NaN,19.5,10,NaN,812.7,NaN,NaN,4686,4223,20.3,NaN,4855,0,16,0,0,0,2658,118.4,73.8,2815.3,6.3,282.1,20,13.1,44.7,144.9,33.4,224.5,43,5.7,43,5,NaN,20.1,10610.9,105.4,-6.1,47,2699.6,3241.1,7255.6,NaN,NaN,6553.9,63.7
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2007,NaN,NaN,NaN,NaN,10.7,293,466.8,100.6,NaN,NaN,NaN,51,161,1,1493.8,5901,2246,15.4,931,41.8,249.5,2.5,112.1,14,NaN,19.9,9.6,NaN,1641.1,NaN,NaN,3366,3094,20.6,NaN,5242,62,29.6,30,0,0,2619,117.5,74,3628.8,6.4,285.4,34,13.3,45.4,142.9,33.1,222.9,43,6.4,48,5.5,NaN,19.1,13003.5,111.2,-4.7,43,2943.6,3255.8,7525.1,NaN,NaN,8105.4,63.1
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2008,14432.256,51.6,14.2,NaN,12.3,351,114,101.6,NaN,NaN,NaN,47,160,1,858,5359,1949,15.3,867,39.1,NaN,2.5,111.1,14,NaN,33.1,11.4,NaN,1822.9,NaN,NaN,3181,2820,20.8,NaN,5416,0,34.3,0,0,0,2495,112.6,74.1,4451,6.2,280.4,8,13.6,45.9,140.5,33.4,221.5,43,6.5,48.1,5.5,NaN,18.5,4818.2,107.9,-3,40,NaN,3904.3,9780.6,NaN,NaN,10771,49.3
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2009,18807.779,40.3,11.1,NaN,12.6,522,110.6,84.8,NaN,NaN,NaN,33,144,1,804,4348,1999,14.8,880,39.8,NaN,2.5,112.4,13,NaN,25.9,17,NaN,2791.7,NaN,NaN,4209,3738,21.1,NaN,5450,0,38.1,0,230,0,2532,114.6,74.7,5999,6.3,284.2,10,13.6,45.3,133,33,220.5,44,6.9,48.1,5.7,NaN,18.7,4810.1,89,-2.2,34,NaN,4361.5,14809.6,NaN,NaN,11845,48.3
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2010,19967.1,42.5,11.9,1817.9,12.1,242,112.9,95,NaN,NaN,NaN,31,141,1,615.9,3464,1589,15.5,658,30,NaN,1.8,83.6,8,NaN,34.3,22.3,NaN,1702.6,NaN,NaN,2412,2127,21.2,-595,5720,0,19.2,0,0,0,2012,91.8,75.7,7375.2,5,225.9,11,13.5,48.5,129.2,32.3,219.2,45,7.2,NaN,6,7494,NaN,5688,116.5,-3.4,NaN,NaN,6025.3,18199.8,NaN,NaN,13306.5,48.3
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2011,23096.9,39,13.9,2399.8,12.1,508,128.9,102.6,NaN,NaN,NaN,31,146,2,850.4,3084,1408,14.8,673,31.1,NaN,1.9,86.5,6,NaN,27.4,15.8,NaN,2425.6,NaN,NaN,1684,1500,21.6,-1896,5786,0,33.1,0,0,0,2048,94.5,76.4,7986.4,4.7,218.6,9,14.6,51,131.4,34.3,216.7,45,7.4,NaN,6.3,6159,NaN,7435.6,104.7,-2.7,NaN,NaN,6971.4,20705.2,NaN,NaN,15008.6,49.1
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2012,26111.1,39.3,11.1,2941.4,13.5,763,127.8,96.4,NaN,NaN,NaN,30,148,1,567.9,2729,1363,14.9,657,30.6,NaN,1.9,86.8,6,NaN,28.9,14.8,NaN,3988.7,NaN,NaN,1407,1300,22,-1627,5261,0,46.6,0,0,0,2122,98.8,76.8,8801.6,5.2,241.4,8,14.8,51.9,127.8,35.1,214.8,44,7.5,NaN,6.5,6484,NaN,8619.6,115,-1.4,NaN,NaN,7374.3,24051.1,NaN,NaN,17335,49
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2013,30169.9,42.3,11.2,2509.3,13.3,890,121.7,87.4,NaN,NaN,NaN,33,159,2,1183.1,3096,1439,14.6,629,29.4,NaN,1.9,88.2,6,NaN,26.3,11.8,12.6,3420.5,NaN,NaN,1428,1050,19.8,-809,5463,0,46.3,0,70,166,2075,97.1,77.5,9591.9,5.2,243.6,8,15.6,52.9,124.7,36.1,213.7,44,8,NaN,6.9,8354,NaN,10253.2,111.6,-1.3,NaN,NaN,7470,24717.2,NaN,NaN,19558.2,48.7
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2014,33344.5,46.1,11.2,1939.8,12.7,837,120,89.8,NaN,NaN,NaN,31,154,1,708.5,2850,1394,14.7,593,27.7,NaN,1.8,84.4,6,NaN,22.9,11.8,10,3109.5,NaN,NaN,1364,1130,20,553,5615,0,47.7,0,0,0,2066,96.6,78.2,10361.1,5.3,247.1,9,16,53.9,122.8,37.1,213.8,44,8.6,NaN,7.4,NaN,NaN,11694.7,105.3,-2,NaN,NaN,7725.2,25546,NaN,NaN,20888.2,47.9
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2015,34436,49,18,1970.9,13.1,1128,111,81.2,1545,16443,14898,26,136,1,566.3,3893,1665,13.9,586,27.4,NaN,1.8,82,6,NaN,29,26.1,1.4,3352.5,NaN,NaN,1485,1287,20.3,-119,5722,0,53.5,0,200,0,2079,97.4,79,11452.7,5.2,244.1,6,16,55.1,120.5,38,213.6,59,9.1,NaN,8.7,NaN,NaN,13401.3,99,-0.8,NaN,NaN,7435.3,29810.8,NaN,NaN,21802.4,45.3
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2016,36673.2,52.8,21.8,1709.3,11.6,1119,132.1,NaN,443,10037,9594,NaN,NaN,NaN,1056.2,4016,1794,14.7,559,26.3,NaN,1.8,82.3,5,NaN,15.9,12.6,1.7,3466,NaN,NaN,1302,1100,20.6,-73,5554,0,50.4,0,200,0,2057,96.6,79.4,11756.7,5.3,247.5,7,16.1,55.9,118.3,38.6,212.8,50,9.4,NaN,8.9,NaN,NaN,14017.3,NaN,-3.1,NaN,NaN,7845.2,35170.4,NaN,563.7,22849.8,43.6
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2017,38775,53.8,22.9,2580.4,9.8,1716,144.4,NaN,1221,36639,35418,NaN,NaN,NaN,1892.5,3367,1621,14.7,539,25.5,NaN,1.7,80,5,NaN,16.1,14.2,1.6,3890.5,1013,902,1013,902,20.9,-176,5237,0,64.4,0,0,0,1936,91.5,79.6,12615.9,5.6,262.7,7,16,56.6,116.2,38.8,211.6,45,9.2,NaN,9,NaN,NaN,14270.5,NaN,-4.9,NaN,NaN,7375.7,34161.5,NaN,588.3,24558.8,42.7
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2018,41924,53.2,21.2,3824.2,9.3,422,92.9,NaN,3603,36012,32409,NaN,NaN,NaN,1537.6,NaN,NaN,14.9,523,24.9,NaN,1.7,79.3,5,NaN,15.9,9.5,5.7,3645.7,951,818,NaN,NaN,21,-109,4771,NaN,23.6,0,0,0,1871,89,79.8,13301.2,5.5,263.2,7,15.7,57,114.4,38.9,210.3,NaN,9.3,NaN,9.2,NaN,NaN,14797.9,NaN,-5.6,NaN,NaN,7087.4,30656.3,NaN,737.5,27516,42
Алтайский край,Бийск,Бийск,1705000001,52.53916667,85.21388889,2019,42882.7,53.1,24.4,2593.7,8.9,514,104,NaN,3093,46027,42934,NaN,NaN,NaN,1433.8,NaN,NaN,15,517,24.7,NaN,1.6,76.6,6,NaN,25.9,12.8,11.9,4036.8,928,844,NaN,NaN,21.2,171,4438,NaN,34.4,0,0,0,1812,86.6,78.9,14017.4,6,285.6,6,14.9,54.5,116,38.8,209.2,NaN,9.2,NaN,8.9,NaN,NaN,16585.9,NaN,-6.1,NaN,NaN,7088.5,35900.4,NaN,736.1,30203.9,41
